2/13/2024, 4:00 PM						
User Name						
Experimental Description						
Header A (units)	Header B (u)	Header C (u)	Header D (u)			
0.000000	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.003333	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.003833	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.004333	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.004833	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.005333	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.005833	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.006333	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.006833	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.007334	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.007834	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.008334	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.008834	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.009334	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.009834	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.010334	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.010834	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.011334	350.000000	0.000000	0.000000	350.000000	0.200000	1.000000
0.011834	350.000000	0.000362	-0.010447	350.000000	0.200000	1.000000
0.012334	350.000000	0.001747	-0.054796	350.000000	0.200000	1.000000
0.012834	350.000000	0.004329	-0.409142	350.000000	0.200000	1.000000
0.013334	350.000000	0.007877	-1.048988	350.000000	0.200000	1.000000
0.013834	350.000000	0.012544	-1.762020	350.000000	0.200000	1.000000
0.014335	350.000000	0.018804	-2.679522	350.000000	0.200000	1.000000
0.014835	350.000000	0.026671	-3.782907	350.000000	0.200000	1.000000
0.015335	350.000000	0.036129	-5.021762	350.000000	0.200000	1.000000
0.015835	350.000000	0.047508	-6.353548	350.000000	0.200000	1.000000
0.016335	350.000000	0.060692	-7.696707	350.000000	0.200000	1.000000
0.016835	350.000000	0.075559	-8.942604	350.000000	0.200000	1.000000
0.017335	350.000000	0.092342	-10.000874	350.000000	0.200000	1.000000
0.017835	350.000000	0.111213	-10.792988	350.000000	0.200000	1.000000
0.018335	350.000000	0.132281	-11.249320	350.000000	0.200000	1.000000
0.018835	350.000000	0.155607	-11.307085	350.000000	0.200000	1.000000
0.019335	350.000000	0.181574	-10.950660	350.000000	0.200000	1.000000
0.019835	350.000000	0.210461	-10.198007	350.000000	0.200000	1.000000
0.020335	350.000000	0.241736	-9.021540	350.000000	0.200000	1.000000
0.020835	350.000000	0.274920	-7.389215	350.000000	0.200000	1.000000
0.021335	350.000000	0.310308	-5.364131	350.000000	0.200000	1.000000
0.021836	350.000000	0.348115	-3.021009	350.000000	0.200000	1.000000
0.022336	350.000000	0.388123	-0.331397	350.000000	0.200000	1.000000
0.022836	350.000000	0.430481	2.722442	350.000000	0.200000	1.000000
0.023336	350.000000	0.475642	6.045464	350.000000	0.200000	1.000000
0.023836	350.000000	0.523581	9.557421	350.000000	0.200000	1.000000
0.024336	350.000000	0.573876	13.284790	350.000000	0.200000	1.000000
0.024836	350.000000	0.626501	17.235841	350.000000	0.200000	1.000000
0.025336	350.000000	0.681763	21.366983	350.000000	0.200000	1.000000
0.025836	350.000000	0.739519	25.690316	350.000000	0.200000	1.000000
0.026336	350.000000	0.799251	30.231775	350.000000	0.200000	1.000000
0.026836	350.000000	0.860857	34.970282	350.000000	0.200000	1.000000
0.027336	350.000000	0.924589	39.853242	350.000000	0.200000	1.000000
0.027836	350.000000	0.990626	44.814798	350.000000	0.200000	1.000000
0.028336	350.000000	1.059085	49.792162	350.000000	0.200000	1.000000
0.028837	350.000000	1.130028	54.716766	350.000000	0.200000	1.000000
0.029337	350.000000	1.203472	59.593101	350.000000	0.200000	1.000000
0.029837	350.000000	1.279395	64.503373	350.000000	0.200000	1.000000
0.030337	350.000000	1.357379	69.493932	350.000000	0.200000	1.000000
0.030837	350.000000	1.436683	74.577419	350.000000	0.200000	1.000000
0.031337	350.000000	1.517031	79.790620	350.000000	0.200000	1.000000
0.031837	350.000000	1.598536	85.159613	350.000000	0.200000	1.000000
0.032337	350.000000	1.681279	90.621634	350.000000	0.200000	1.000000
0.032837	350.000000	1.765308	96.105011	350.000000	0.200000	1.000000
0.033346	350.000000	1.850644	101.614455	350.000000	0.200000	1.000000
0.033846	350.000000	1.937288	107.300570	350.000000	0.200000	1.000000
0.034346	350.000000	2.025220	112.887022	350.000000	0.200000	1.000000
0.034846	350.000000	2.114405	118.317015	350.000000	0.200000	1.000000
0.035346	350.000000	2.205158	123.558043	350.000000	0.200000	1.000000
0.035846	350.000000	2.298082	128.524950	350.000000	0.200000	1.000000
0.036346	350.000000	2.393288	133.073956	350.000000	0.200000	1.000000
0.036846	350.000000	2.490474	137.092616	350.000000	0.200000	1.000000
0.037346	350.000000	2.589359	140.559011	350.000000	0.200000	1.000000
0.037846	350.000000	2.689681	143.530652	350.000000	0.200000	1.000000
0.038346	350.000000	2.791203	146.122572	350.000000	0.200000	1.000000
0.038846	350.000000	2.893707	148.498621	350.000000	0.200000	1.000000
0.039346	350.000000	2.997358	150.832198	350.000000	0.200000	1.000000
0.039846	350.000000	3.102642	153.279528	350.000000	0.200000	1.000000
0.040346	350.000000	3.209578	155.958644	350.000000	0.200000	1.000000
0.040846	350.000000	3.317798	158.912567	350.000000	0.200000	1.000000
0.041346	350.000000	3.426971	162.158291	350.000000	0.200000	1.000000
0.041846	350.000000	3.537174	165.680766	350.000000	0.200000	1.000000
0.042346	350.000000	3.648814	169.413686	350.000000	0.200000	1.000000
0.042846	350.000000	3.761852	173.305618	350.000000	0.200000	1.000000
0.043352	350.000000	3.876232	177.343757	350.000000	0.200000	1.000000
0.043852	350.000000	3.991891	181.183514	350.000000	0.200000	1.000000
0.044352	350.000000	4.108393	184.882013	350.000000	0.200000	1.000000
0.044852	350.000000	4.225724	188.362123	350.000000	0.200000	1.000000
0.045352	350.000000	4.343860	191.582819	350.000000	0.200000	1.000000
0.045852	350.000000	4.462769	194.606326	350.000000	0.200000	1.000000
0.046352	350.000000	4.582777	197.510799	350.000000	0.200000	1.000000
0.046852	350.000000	4.703776	200.363976	350.000000	0.200000	1.000000
0.047353	350.000000	4.825663	203.213893	350.000000	0.200000	1.000000
0.047853	350.000000	4.948700	206.053106	350.000000	0.200000	1.000000
0.048353	350.000000	5.072730	208.847805	350.000000	0.200000	1.000000
0.048853	350.000000	5.197604	211.542210	350.000000	0.200000	1.000000
0.049353	350.000000	5.323548	214.063758	350.000000	0.200000	1.000000
0.049853	350.000000	5.450376	216.462840	350.000000	0.200000	1.000000
0.050353	350.000000	5.577916	218.823982	350.000000	0.200000	1.000000
0.050853	350.000000	5.706378	221.157865	350.000000	0.200000	1.000000
0.051353	350.000000	5.835562	223.435236	350.000000	0.200000	1.000000
0.051853	350.000000	5.965290	225.644873	350.000000	0.200000	1.000000
0.052353	350.000000	6.095766	227.825347	350.000000	0.200000	1.000000
0.052853	350.000000	6.226789	230.038681	350.000000	0.200000	1.000000
