3/14/2024, 9:35 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.000000	43.325733	0.000000	0.000000	113.000000	0.250000	0.000000	-255.750000	0.000000
0.004470	0.000000	0.000000	0.793418	113.000000	0.250000	0.000000	255.750000	0.000000
0.004970	0.793418	0.000000	0.882166	113.000000	0.250000	0.000000	255.750000	0.000000
0.005470	0.882166	0.000000	0.970913	113.000000	0.250000	0.000000	255.750000	0.000000
0.005970	0.970913	0.000000	1.059659	113.000000	0.250000	0.000000	255.750000	0.000000
0.006470	1.059659	0.000000	1.148423	113.000000	0.250000	0.000000	255.750000	0.000000
0.006970	1.148423	0.000000	1.237168	113.000000	0.250000	0.000000	255.750000	0.000000
0.007470	1.237168	0.000000	1.325930	113.000000	0.250000	0.000000	255.750000	0.000000
0.007970	1.325930	0.000000	1.414691	113.000000	0.250000	0.000000	255.750000	0.000000
0.008470	1.414691	0.000000	1.503434	113.000000	0.250000	0.000000	255.750000	0.000000
0.008970	1.503434	0.000000	1.592193	113.000000	0.250000	0.000000	255.750000	0.000000
0.009471	1.592193	0.000000	1.680952	113.000000	0.250000	0.000000	255.750000	0.000000
0.009971	1.680952	0.000000	1.769691	113.000000	0.250000	0.000000	255.750000	0.000000
0.010471	1.769691	0.000000	1.858448	113.000000	0.250000	0.000000	255.750000	0.000000
0.010971	1.858448	0.000000	1.947203	113.000000	0.250000	0.000000	255.750000	0.000000
0.011471	1.947203	0.000000	2.035957	113.000000	0.250000	0.000000	255.750000	0.000000
0.011971	2.035957	0.000000	2.124709	113.000000	0.250000	0.000000	255.750000	0.000000
0.012471	2.124709	0.000000	2.213081	113.000000	0.250000	0.000000	255.750000	0.000000
0.012971	2.213443	0.000362	2.300446	113.000000	0.250000	0.000000	255.750000	0.000000
0.013471	2.302193	0.001747	2.386595	113.000000	0.250000	0.000000	255.750000	0.000000
0.013971	2.390924	0.004329	2.471794	113.000000	0.250000	0.000000	255.750000	0.000000
0.014471	2.479671	0.007877	2.556235	113.000000	0.250000	0.000000	255.750000	0.000000
0.014971	2.568417	0.012182	2.640085	113.000000	0.250000	0.000000	255.750000	0.000000
0.015471	2.657143	0.017058	2.723544	113.000000	0.250000	0.000000	255.750000	0.000000
0.015971	2.745885	0.022342	2.806374	113.000000	0.250000	0.000000	255.750000	0.000000
0.016471	2.834626	0.028252	2.888021	113.000000	0.250000	0.000000	255.750000	0.000000
0.016972	2.923347	0.035326	2.968450	113.000000	0.250000	0.000000	255.750000	0.000000
0.017472	3.012084	0.043634	3.047602	113.000000	0.250000	0.000000	255.750000	0.000000
0.017972	3.100819	0.053217	3.125083	113.000000	0.250000	0.000000	255.750000	0.000000
0.018472	3.189535	0.064452	3.200996	113.000000	0.250000	0.000000	255.750000	0.000000
0.018972	3.278266	0.077271	3.275767	113.000000	0.250000	0.000000	255.750000	0.000000
0.019472	3.366996	0.091229	3.349423	113.000000	0.250000	0.000000	255.750000	0.000000
