3/14/2024, 9:13 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.000000	-113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.004475	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.004975	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.005475	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.005975	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.006475	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.006975	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.007475	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.007975	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.008475	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.008975	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.009475	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.009975	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.010475	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.010975	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	255.750000	0.000000
0.011475	113.000000	0.000000	113.000362	113.000000	0.250000	1.000000	255.750000	0.000000
0.011976	113.000000	-0.000362	113.001747	113.000000	0.250000	1.000000	255.750000	0.000000
0.012476	113.000000	-0.001747	113.004329	113.000000	0.250000	1.000000	255.750000	0.000000
0.012976	113.000000	-0.004329	113.007877	113.000000	0.250000	1.000000	255.750000	0.000000
0.013476	113.000000	-0.007877	113.012182	113.000000	0.250000	1.000000	255.750000	0.000000
0.013976	113.000000	-0.012182	113.017058	113.000000	0.250000	1.000000	255.750000	0.000000
0.014476	113.000000	-0.017058	113.022342	113.000000	0.250000	1.000000	255.750000	0.000000
0.014976	113.000000	-0.022342	113.028252	113.000000	0.250000	1.000000	255.750000	0.000000
0.015476	113.000000	-0.028252	113.035326	113.000000	0.250000	1.000000	255.750000	0.000000
0.015976	113.000000	-0.035326	113.043634	113.000000	0.250000	1.000000	255.750000	0.000000
0.016476	113.000000	-0.043634	113.052855	113.000000	0.250000	1.000000	255.750000	0.000000
0.016976	113.000000	-0.052855	113.062706	113.000000	0.250000	1.000000	255.750000	0.000000
0.017476	113.000000	-0.062706	113.072942	113.000000	0.250000	1.000000	255.750000	0.000000
0.017976	113.000000	-0.072942	113.083352	113.000000	0.250000	1.000000	255.750000	0.000000
0.018476	113.000000	-0.083352	113.093757	113.000000	0.250000	1.000000	255.750000	0.000000
0.018977	113.000000	-0.093757	113.103644	113.000000	0.250000	1.000000	255.750000	0.000000
0.019477	113.000000	-0.103644	113.112231	113.000000	0.250000	1.000000	255.750000	0.000000
0.019977	113.000000	-0.112231	113.119243	113.000000	0.250000	1.000000	255.750000	0.000000
0.020477	113.000000	-0.119243	113.124835	113.000000	0.250000	1.000000	255.750000	0.000000
0.020977	113.000000	-0.124835	113.129156	113.000000	0.250000	1.000000	255.750000	0.000000
0.021477	113.000000	-0.129156	113.131989	113.000000	0.250000	1.000000	255.750000	0.000000
0.021977	113.000000	-0.131989	113.132811	113.000000	0.250000	1.000000	255.750000	0.000000
0.022477	113.000000	-0.132811	113.131575	113.000000	0.250000	1.000000	255.750000	0.000000
0.022977	113.000000	-0.131575	113.128272	113.000000	0.250000	1.000000	255.750000	0.000000
0.023477	113.000000	-0.128272	113.122562	113.000000	0.250000	1.000000	255.750000	0.000000
0.023977	113.000000	-0.122562	113.114558	113.000000	0.250000	1.000000	255.750000	0.000000
0.024477	113.000000	-0.114558	113.104749	113.000000	0.250000	1.000000	255.750000	0.000000
0.024977	113.000000	-0.104749	113.093208	113.000000	0.250000	1.000000	255.750000	0.000000
0.025477	113.000000	-0.093208	113.079661	113.000000	0.250000	1.000000	255.750000	0.000000
0.025977	113.000000	-0.079661	113.064268	113.000000	0.250000	1.000000	255.750000	0.000000
0.026478	113.000000	-0.064268	113.047191	113.000000	0.250000	1.000000	255.750000	0.000000
0.027127	113.000000	-0.047191	113.027865	113.000000	0.250000	1.000000	255.750000	0.000000
0.027730	113.000000	-0.027865	113.005849	113.000000	0.250000	1.000000	255.750000	0.000000
0.028230	113.000000	-0.005849	112.981177	113.000000	0.250000	1.000000	255.750000	0.000000
0.028730	113.000000	0.018823	112.953912	113.000000	0.250000	1.000000	255.750000	0.000000
0.029231	113.000000	0.046088	112.924512	113.000000	0.250000	1.000000	255.750000	0.000000
0.029731	113.000000	0.075488	112.893386	113.000000	0.250000	1.000000	255.750000	0.000000
0.032653	113.000000	0.106614	112.860543	113.000000	0.250000	1.000000	255.750000	0.000000
0.033153	113.000000	0.139457	112.825651	113.000000	0.250000	1.000000	255.750000	0.000000
0.033653	113.000000	0.174349	112.787739	113.000000	0.250000	1.000000	255.750000	0.000000
0.034153	113.000000	0.212261	112.746398	113.000000	0.250000	1.000000	255.750000	0.000000
0.034653	113.000000	0.253602	112.702425	113.000000	0.250000	1.000000	255.750000	0.000000
0.035153	113.000000	0.297575	112.656521	113.000000	0.250000	1.000000	255.750000	0.000000
0.035653	113.000000	0.343479	112.608581	113.000000	0.250000	1.000000	255.750000	0.000000
0.036153	113.000000	0.391419	112.558544	113.000000	0.250000	1.000000	255.750000	0.000000
0.036653	113.000000	0.441456	112.506751	113.000000	0.250000	1.000000	255.750000	0.000000
0.037153	113.000000	0.493249	112.453153	113.000000	0.250000	1.000000	255.750000	0.000000
0.037653	113.000000	0.546847	112.397732	113.000000	0.250000	1.000000	255.750000	0.000000
0.038153	113.000000	0.602268	112.340866	113.000000	0.250000	1.000000	255.750000	0.000000
0.038654	113.000000	0.659134	112.282887	113.000000	0.250000	1.000000	255.750000	0.000000
0.039154	113.000000	0.717113	112.224094	113.000000	0.250000	1.000000	255.750000	0.000000
0.039654	113.000000	0.775906	112.164383	113.000000	0.250000	1.000000	255.750000	0.000000
0.040154	113.000000	0.835617	112.103321	113.000000	0.250000	1.000000	255.750000	0.000000
0.040654	113.000000	0.896679	112.040926	113.000000	0.250000	1.000000	255.750000	0.000000
0.041154	113.000000	0.959074	111.977594	113.000000	0.250000	1.000000	255.750000	0.000000
0.041654	113.000000	1.022406	111.912585	113.000000	0.250000	1.000000	255.750000	0.000000
0.042154	113.000000	1.087415	111.844577	113.000000	0.250000	1.000000	255.750000	0.000000
0.042654	113.000000	1.155423	111.773597	113.000000	0.250000	1.000000	255.750000	0.000000
0.043154	113.000000	1.226403	111.700069	113.000000	0.250000	1.000000	255.750000	0.000000
0.043654	113.000000	1.299931	111.624025	113.000000	0.250000	1.000000	255.750000	0.000000
0.044154	113.000000	1.375975	111.545528	113.000000	0.250000	1.000000	255.750000	0.000000
0.044654	113.000000	1.454472	111.465027	113.000000	0.250000	1.000000	255.750000	0.000000
0.045154	113.000000	1.534973	111.383292	113.000000	0.250000	1.000000	255.750000	0.000000
0.045654	113.000000	1.616708	111.300619	113.000000	0.250000	1.000000	255.750000	0.000000
0.046155	113.000000	1.699381	111.216912	113.000000	0.250000	1.000000	255.750000	0.000000
0.046655	113.000000	1.783088	111.132101	113.000000	0.250000	1.000000	255.750000	0.000000
0.047155	113.000000	1.867899	111.046510	113.000000	0.250000	1.000000	255.750000	0.000000
0.047655	113.000000	1.953490	110.960781	113.000000	0.250000	1.000000	255.750000	0.000000
0.048155	113.000000	2.039219	110.875092	113.000000	0.250000	1.000000	255.750000	0.000000
0.048655	113.000000	2.124908	110.789228	113.000000	0.250000	1.000000	255.750000	0.000000
0.049155	113.000000	2.210772	110.703014	113.000000	0.250000	1.000000	255.750000	0.000000
0.049655	113.000000	2.296986	110.616307	113.000000	0.250000	1.000000	255.750000	0.000000
0.050155	113.000000	2.383693	110.528994	113.000000	0.250000	1.000000	255.750000	0.000000
0.050655	113.000000	2.471006	110.441353	113.000000	0.250000	1.000000	255.750000	0.000000
0.051155	113.000000	2.558647	110.353982	113.000000	0.250000	1.000000	255.750000	0.000000
0.051655	113.000000	2.646018	110.267016	113.000000	0.250000	1.000000	255.750000	0.000000
0.052155	113.000000	2.732984	110.180202	113.000000	0.250000	1.000000	255.750000	0.000000
0.052655	113.000000	2.819798	110.093322	113.000000	0.250000	1.000000	255.750000	0.000000
0.053156	113.000000	2.906678	110.006198	113.000000	0.250000	1.000000	255.750000	0.000000
0.053656	113.000000	2.993802	109.918683	113.000000	0.250000	1.000000	255.750000	0.000000
0.054156	113.000000	3.081317	109.831022	113.000000	0.250000	1.000000	255.750000	0.000000
0.054656	113.000000	3.168978	109.743784	113.000000	0.250000	1.000000	255.750000	0.000000
0.055156	113.000000	3.256216	109.657077	113.000000	0.250000	1.000000	255.750000	0.000000
0.055656	113.000000	3.342923	109.570261	113.000000	0.250000	1.000000	255.750000	0.000000
0.056156	113.000000	3.429739	109.482800	113.000000	0.250000	1.000000	255.750000	0.000000
0.056656	113.000000	3.517200	109.394980	113.000000	0.250000	1.000000	255.750000	0.000000
0.057156	113.000000	3.605020	109.307044	113.000000	0.250000	1.000000	255.750000	0.000000
0.057656	113.000000	3.692956	109.218837	113.000000	0.250000	1.000000	255.750000	0.000000
0.058156	113.000000	3.781163	109.130232	113.000000	0.250000	1.000000	255.750000	0.000000
0.058656	113.000000	3.869768	109.041129	113.000000	0.250000	1.000000	255.750000	0.000000
0.059156	113.000000	3.958871	108.951451	113.000000	0.250000	1.000000	255.750000	0.000000
0.059656	113.000000	4.048549	108.861142	113.000000	0.250000	1.000000	255.750000	0.000000
0.060156	113.000000	4.138858	108.770165	113.000000	0.250000	1.000000	255.750000	0.000000
0.060657	113.000000	4.229835	108.678497	113.000000	0.250000	1.000000	255.750000	0.000000
0.061157	113.000000	4.321503	108.586130	113.000000	0.250000	1.000000	255.750000	0.000000
0.061657	113.000000	4.413870	108.493068	113.000000	0.250000	1.000000	255.750000	0.000000
0.062157	113.000000	4.506932	108.399324	113.000000	0.250000	1.000000	255.750000	0.000000
0.062657	113.000000	4.600676	108.304917	113.000000	0.250000	1.000000	255.750000	0.000000
0.063157	113.000000	4.695083	108.209874	113.000000	0.250000	1.000000	255.750000	0.000000
0.063657	113.000000	4.790126	108.114228	113.000000	0.250000	1.000000	255.750000	0.000000
0.064157	113.000000	4.885772	108.018013	113.000000	0.250000	1.000000	255.750000	0.000000
0.064661	113.000000	4.981987	107.921268	113.000000	0.250000	1.000000	255.750000	0.000000
0.065161	113.000000	5.078732	107.824030	113.000000	0.250000	1.000000	255.750000	0.000000
0.065661	113.000000	5.175970	107.726342	113.000000	0.250000	1.000000	255.750000	0.000000
0.066161	113.000000	5.273658	107.628242	113.000000	0.250000	1.000000	255.750000	0.000000
0.066661	113.000000	5.371758	107.529769	113.000000	0.250000	1.000000	255.750000	0.000000
0.067165	113.000000	5.470231	107.430964	113.000000	0.250000	1.000000	255.750000	0.000000
0.067665	113.000000	5.569036	107.332224	113.000000	0.250000	1.000000	255.750000	0.000000
0.068165	113.000000	5.667776	107.233882	113.000000	0.250000	1.000000	255.750000	0.000000
0.068665	113.000000	5.766118	107.135851	113.000000	0.250000	1.000000	255.750000	0.000000
0.069166	113.000000	5.864149	107.038050	113.000000	0.250000	1.000000	255.750000	0.000000
0.069666	113.000000	5.961950	106.940049	113.000000	0.250000	1.000000	255.750000	0.000000
0.070166	113.000000	6.059951	106.841488	113.000000	0.250000	1.000000	255.750000	0.000000
0.070666	113.000000	6.158512	106.742439	113.000000	0.250000	1.000000	255.750000	0.000000
0.071166	113.000000	6.257561	106.642966	113.000000	0.250000	1.000000	255.750000	0.000000
0.071666	113.000000	6.357034	106.543132	113.000000	0.250000	1.000000	255.750000	0.000000
0.072166	113.000000	6.456868	106.442992	113.000000	0.250000	1.000000	255.750000	0.000000
0.072666	113.000000	6.557008	106.342599	113.000000	0.250000	1.000000	255.750000	0.000000
0.073166	113.000000	6.657401	106.241999	113.000000	0.250000	1.000000	255.750000	0.000000
0.073666	113.000000	6.758001	106.141234	113.000000	0.250000	1.000000	255.750000	0.000000
0.074166	113.000000	6.858766	106.040344	113.000000	0.250000	1.000000	255.750000	0.000000
0.074666	113.000000	6.959656	105.939360	113.000000	0.250000	1.000000	255.750000	0.000000
0.075166	113.000000	7.060640	105.838312	113.000000	0.250000	1.000000	255.750000	0.000000
0.075666	113.000000	7.161688	105.736865	113.000000	0.250000	1.000000	255.750000	0.000000
0.076166	113.000000	7.263135	105.634741	113.000000	0.250000	1.000000	255.750000	0.000000
0.076667	113.000000	7.365259	105.532444	113.000000	0.250000	1.000000	255.750000	0.000000
0.077167	113.000000	7.467556	105.430397	113.000000	0.250000	1.000000	255.750000	0.000000
0.077667	113.000000	7.569603	105.328228	113.000000	0.250000	1.000000	255.750000	0.000000
0.078167	113.000000	7.671772	105.225263	113.000000	0.250000	1.000000	255.750000	0.000000
0.078667	113.000000	7.774737	105.121312	113.000000	0.250000	1.000000	255.750000	0.000000
0.079167	113.000000	7.878688	105.016594	113.000000	0.250000	1.000000	255.750000	0.000000
0.079667	113.000000	7.983406	104.911301	113.000000	0.250000	1.000000	255.750000	0.000000
0.080167	113.000000	8.088699	104.805604	113.000000	0.250000	1.000000	255.750000	0.000000
0.080667	113.000000	8.194396	104.699651	113.000000	0.250000	1.000000	255.750000	0.000000
0.081167	113.000000	8.300349	104.593570	113.000000	0.250000	1.000000	255.750000	0.000000
0.081667	113.000000	8.406430	104.487470	113.000000	0.250000	1.000000	255.750000	0.000000
0.082167	113.000000	8.512530	104.381443	113.000000	0.250000	1.000000	255.750000	0.000000
0.082667	113.000000	8.618557	104.275564	113.000000	0.250000	1.000000	255.750000	0.000000
0.083167	113.000000	8.724436	104.169531	113.000000	0.250000	1.000000	255.750000	0.000000
