3/14/2024, 9:26 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.000000	-113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.005119	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.005619	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.006119	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.006619	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.007119	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.007619	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.008119	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.008619	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.009119	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.009619	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.010119	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.010619	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.011119	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.011620	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.012120	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.012620	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.013120	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.013620	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.014120	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.014620	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.015120	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.015620	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.016120	113.000000	0.000000	113.000000	113.000000	0.250000	1.000000	511.500000	0.000000
0.016620	113.000000	0.000000	112.999638	113.000000	0.250000	1.000000	511.500000	0.000000
0.017120	113.000000	0.000362	112.998253	113.000000	0.250000	1.000000	511.500000	0.000000
