3/14/2024, 4:29 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.000000	-113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.005941	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.006441	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.006960	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.007460	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.007974	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.008474	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.008974	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.009487	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.009987	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.010487	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.010987	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.011487	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.011987	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.012495	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.012995	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.013495	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.013995	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.014495	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.014995	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.015495	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.015995	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.016496	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738800	1.000000
0.016996	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	990.738374	1.000000
0.017496	113.000000	0.000362	-0.034239	113.000000	0.250000	1.000000	990.738452	1.000000
0.017996	113.000000	0.001747	-0.186374	113.000000	0.250000	1.000000	990.742766	1.000000
0.018496	113.000000	0.004329	-0.522057	113.000000	0.250000	1.000000	990.753964	1.000000
0.018996	113.000000	0.007877	-1.048886	113.000000	0.250000	1.000000	990.770199	1.000000
0.019496	113.000000	0.012544	-1.760637	113.000000	0.250000	1.000000	990.788478	1.000000
0.019996	113.000000	0.019167	-2.711371	113.000000	0.250000	1.000000	990.808114	1.000000
0.020496	113.000000	0.028417	-3.965946	113.000000	0.250000	1.000000	990.828953	1.000000
0.020996	113.000000	0.040458	-5.540158	113.000000	0.250000	1.000000	990.847424	1.000000
0.021565	113.000000	0.055385	-7.399987	113.000000	0.250000	1.000000	990.849984	1.000000
0.022317	113.000000	0.073960	-9.460019	113.000000	0.250000	1.000000	990.791819	1.000000
0.022817	113.000000	0.097856	-11.344765	113.000000	0.250000	1.000000	990.704483	1.000000
0.023317	113.000000	0.127671	-13.512485	113.000000	0.250000	1.000000	990.588645	1.000000
0.023846	113.000000	0.162734	-15.898220	113.000000	0.250000	1.000000	990.429686	1.000000
0.024346	113.000000	0.202768	-18.289817	113.000000	0.250000	1.000000	990.222276	1.000000
0.024846	113.000000	0.248195	-20.666880	113.000000	0.250000	1.000000	989.954205	1.000000
0.025346	113.000000	0.299652	-22.946907	113.000000	0.250000	1.000000	989.613982	1.000000
0.025846	113.000000	0.357223	-24.995920	113.000000	0.250000	1.000000	989.187940	1.000000
0.026346	113.000000	0.420527	-26.602142	113.000000	0.250000	1.000000	988.658963	1.000000
0.026846	113.000000	0.489162	-27.508549	113.000000	0.250000	1.000000	988.009038	1.000000
0.027346	113.000000	0.563076	-27.485214	113.000000	0.250000	1.000000	987.220636	1.000000
0.027846	113.000000	0.642512	-26.340321	113.000000	0.250000	1.000000	986.275783	1.000000
0.028346	113.000000	0.727594	-23.863491	113.000000	0.250000	1.000000	985.163169	1.000000
0.028846	113.000000	0.818343	-19.916200	113.000000	0.250000	1.000000	983.883835	1.000000
0.029346	113.000000	0.914694	-14.504382	113.000000	0.250000	1.000000	982.446183	1.000000
0.029847	113.000000	1.016512	-7.717954	113.000000	0.250000	1.000000	980.857412	1.000000
0.030347	113.000000	1.123605	0.374448	113.000000	0.250000	1.000000	979.117942	1.000000
0.030847	113.000000	1.236099	9.753929	113.000000	0.250000	1.000000	977.229357	1.000000
0.031347	113.000000	1.354380	20.358376	113.000000	0.250000	1.000000	975.067235	1.000000
0.031847	113.000000	1.478692	33.710881	113.000000	0.250000	1.000000	972.458592	1.000000
0.032347	113.000000	1.608786	51.992698	113.000000	0.250000	1.000000	970.375052	1.000000
0.032847	113.000000	1.744010	63.175199	113.000000	0.250000	1.000000	968.226708	1.000000
0.033347	113.000000	1.884103	74.632957	113.000000	0.250000	1.000000	965.959276	1.000000
0.033847	113.000000	2.029505	86.994262	113.000000	0.250000	1.000000	963.724192	1.000000
0.034347	113.000000	2.180502	98.341680	113.000000	0.250000	1.000000	961.449555	1.000000
