3/14/2024, 4:32 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.000000	-113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.004756	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.005256	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.005756	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.006256	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.006756	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.007256	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.007756	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.008256	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.008756	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.009257	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.009757	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.010257	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.000000	1.000000
0.010757	113.000000	0.000000	0.000000	113.000000	0.250000	1.000000	1130.002860	1.000000
0.011257	113.000000	-0.000362	0.012696	113.000000	0.250000	1.000000	1130.013458	1.000000
0.011757	113.000000	-0.001747	0.066805	113.000000	0.250000	1.000000	1130.032261	1.000000
0.012257	113.000000	-0.004329	0.183817	113.000000	0.250000	1.000000	1130.059693	1.000000
0.012757	113.000000	-0.008239	0.378301	113.000000	0.250000	1.000000	1130.099197	1.000000
0.013257	113.000000	-0.013928	0.668109	113.000000	0.250000	1.000000	1130.153313	1.000000
0.013757	113.000000	-0.021749	1.069627	113.000000	0.250000	1.000000	1130.123230	1.000000
0.014257	113.000000	-0.031965	3.273688	113.000000	0.250000	1.000000	1130.074197	1.000000
0.014757	113.000000	-0.044763	6.223887	113.000000	0.250000	1.000000	1130.114093	1.000000
0.015257	113.000000	-0.060623	8.202338	113.000000	0.250000	1.000000	1130.177856	1.000000
0.015757	113.000000	-0.080266	10.413484	113.000000	0.250000	1.000000	1130.271390	1.000000
