3/14/2024, 9:08 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.000000	-113.000000	0.001087	112.994760	113.000000	0.250000	1.000000	1129.947747	1.000000
0.004824	113.000000	0.005240	112.987013	113.000000	0.250000	1.000000	1129.966780	1.000000
0.005324	113.000000	0.012987	112.976369	113.000000	0.250000	1.000000	1129.926726	1.000000
0.005824	113.000000	0.023631	112.963455	113.000000	0.250000	1.000000	1129.878304	1.000000
0.006324	113.000000	0.036545	112.948826	113.000000	0.250000	1.000000	1129.826877	1.000000
0.006824	113.000000	0.051174	112.932975	113.000000	0.250000	1.000000	1129.775176	1.000000
0.007324	113.000000	0.067025	112.916330	113.000000	0.250000	1.000000	1129.723761	1.000000
0.007824	113.000000	0.083670	112.899261	113.000000	0.250000	1.000000	1129.671814	1.000000
0.008325	113.000000	0.100739	112.882084	113.000000	0.250000	1.000000	1129.617942	1.000000
0.008825	113.000000	0.117916	112.865066	113.000000	0.250000	1.000000	1129.560798	1.000000
0.009325	113.000000	0.134934	112.848428	113.000000	0.250000	1.000000	1129.499446	1.000000
0.009825	113.000000	0.151572	112.832349	113.000000	0.250000	1.000000	1129.433490	1.000000
0.010329	113.000000	0.167651	112.816970	113.000000	0.250000	1.000000	1129.362964	1.000000
0.010829	113.000000	0.183030	112.802401	113.000000	0.250000	1.000000	1129.288491	1.000000
0.011329	113.000000	0.197599	112.788720	113.000000	0.250000	1.000000	1129.210891	1.000000
0.011829	113.000000	0.211280	112.775982	113.000000	0.250000	1.000000	1129.131133	1.000000
0.012329	113.000000	0.224018	112.764217	113.000000	0.250000	1.000000	1129.050225	1.000000
0.012829	113.000000	0.235783	112.753437	113.000000	0.250000	1.000000	1128.969136	1.000000
0.013329	113.000000	0.246563	112.743638	113.000000	0.250000	1.000000	1128.888749	1.000000
0.013829	113.000000	0.256362	112.734802	113.000000	0.250000	1.000000	1127.084461	1.000000
0.014329	113.000000	0.265198	112.726901	113.000000	0.250000	1.000000	1125.085763	1.000000
0.014829	113.000000	0.273099	112.719897	113.000000	0.250000	1.000000	1124.887238	1.000000
0.015329	113.000000	0.280103	112.713745	113.000000	0.250000	1.000000	1124.751698	1.000000
